occupation,skill,relation_type
technical director,theatre techniques,essential
technical director,organise rehearsals,essential
technical director,coordinate with creative departments,essential
technical director,promote health and safety,essential
technical director,write technical riders,optional
metal drawing machine operator,types of metal,essential
metal drawing machine operator,dies,essential
metal drawing machine operator,quality standards,essential
metal drawing machine operator,cold drawing processes,essential
metal drawing machine operator,monitor gauge,essential
metal drawing machine operator,remove inadequate workpieces,essential
metal drawing machine operator,troubleshoot,essential
metal drawing machine operator,remove processed workpiece,essential
metal drawing machine operator,perform test run,essential
metal drawing machine operator,ensure equipment availability,essential
metal drawing machine operator,monitor automated machines,essential
metal drawing machine operator,supply machine,essential
metal drawing machine operator,non-ferrous metal processing,optional
metal drawing machine operator,ferrous metal processing,optional
metal drawing machine operator,metal forming technologies,optional
metal drawing machine operator,metal drawing processes,optional
metal drawing machine operator,precious metal processing,optional
metal drawing machine operator,perform product testing,optional
metal drawing machine operator,tend bar drawing machine,optional
metal drawing machine operator,tend tube drawing machine,optional
metal drawing machine operator,wear appropriate protective gear,optional
metal drawing machine operator,monitor conveyor belt,optional
metal drawing machine operator,tend wire drawing machine,optional
metal drawing machine operator,perform machine maintenance,optional
metal drawing machine operator,advise on machinery malfunctions,optional
metal drawing machine operator,mark processed workpiece,optional
metal drawing machine operator,consult technical resources,optional
metal drawing machine operator,operate lifting equipment,optional
precision device inspector,quality assurance procedures,essential
precision device inspector,precision engineering,essential
precision device inspector,precision mechanics,essential
precision device inspector,quality standards,essential
precision device inspector,precision measuring instruments,essential
precision device inspector,monitor machine operations,essential
precision device inspector,read assembly drawings,essential
precision device inspector,troubleshoot,essential
precision device inspector,conduct quality control analysis,essential
precision device inspector,read standard blueprints,essential
precision device inspector,meet deadlines,essential
precision device inspector,report defective manufacturing materials,essential
precision device inspector,ensure conformity to specifications,essential
precision device inspector,electrical engineering,optional
precision device inspector,micromechatronic engineering,optional
precision device inspector,microelectronics,optional
precision device inspector,moem,optional
precision device inspector,instrument performance elements,optional
precision device inspector,waste removal regulations,optional
precision device inspector,microprocessors,optional
precision device inspector,electronics,optional
precision device inspector,mechanical engineering,optional
precision device inspector,microoptics,optional
precision device inspector,micromechanics,optional
precision device inspector,microelectromechanical systems,optional
precision device inspector,interpret circuit diagrams,optional
precision device inspector,resolve equipment malfunctions,optional
precision device inspector,measure electrical characteristics,optional
precision device inspector,remove defective products,optional
precision device inspector,operate precision measuring equipment,optional
precision device inspector,calibrate precision instrument,optional
precision device inspector,calibrate electronic instruments,optional
precision device inspector,research equipment needs,optional
precision device inspector,maintain test equipment,optional
precision device inspector,use precision tools,optional
precision device inspector,write inspection reports,optional
precision device inspector,operate precision machinery,optional
precision device inspector,write records for repairs,optional
precision device inspector,interpret electrical diagrams,optional
air traffic safety technician,aircraft flight control systems,essential
air traffic safety technician,safety engineering,essential
air traffic safety technician,technical drawings,essential
air traffic safety technician,airport electrical systems,essential
air traffic safety technician,electronics,essential
air traffic safety technician,air transport law,essential
air traffic safety technician,airport safety regulations,essential
air traffic safety technician,common aviation safety regulations,essential
air traffic safety technician,surveillance radars,essential
air traffic safety technician,implement airside safety procedures,essential
air traffic safety technician,use technical drawing software,essential
air traffic safety technician,follow airport safety procedures,essential
air traffic safety technician,use testing equipment,essential
air traffic safety technician,implement safety management systems,essential
air traffic safety technician,maintain electronic equipment,essential
air traffic safety technician,operate radar equipment,essential
air traffic safety technician,air traffic management,optional
air traffic safety technician,electrical engineering,optional
air traffic safety technician,aircraft mechanics,optional
air traffic safety technician,types of aircraft,optional
air traffic safety technician,air traffic control operations,optional
air traffic safety technician,aviation meteorology,optional
air traffic safety technician,design electrical systems,optional
air traffic safety technician,conduct safe aircraft marshalling,optional
air traffic safety technician,use meteorological information,optional
air traffic safety technician,debug software,optional
air traffic safety technician,test circuitry,optional
air traffic safety technician,inspect aircraft for airworthiness,optional
air traffic safety technician,test electrical equipment,optional
air traffic safety technician,undertake navigation safety actions,optional
air traffic safety technician,address aircraft mechanical issues,optional
air traffic safety technician,oversee quality control,optional
air traffic safety technician,operate cockpit control panels,optional
air traffic safety technician,conduct airport safety inspections,optional
air traffic safety technician,install software,optional
air traffic safety technician,assess operating cost,optional
air traffic safety technician,design control systems,optional
air traffic safety technician,perform aircraft maintenance,optional
air traffic safety technician,manage air navigation services,optional
air traffic safety technician,design electronic systems,optional
hospitality revenue manager,property management software,essential
hospitality revenue manager,produce statistical financial records,essential
hospitality revenue manager,implement marketing strategies,essential
hospitality revenue manager,monitor financial accounts,essential
hospitality revenue manager,manage staff,essential
hospitality revenue manager,analyse booking patterns,essential
hospitality revenue manager,develop financial statistics reports,essential
hospitality revenue manager,apply numeracy skills,essential
hospitality revenue manager,forecast occupancy demand,essential
hospitality revenue manager,ensure price competitiveness,essential
hospitality revenue manager,develop business case,essential
hospitality revenue manager,inspect data,essential
hospitality revenue manager,develop revenue generation strategies,essential
hospitality revenue manager,ensure cross-department cooperation,essential
hospitality revenue manager,implement sales strategies,essential
hospitality revenue manager,make data-driven decisions,essential
hospitality revenue manager,manage hospitality revenue,essential
hospitality revenue manager,perform market research,essential
hospitality revenue manager,coach employees,optional
hospitality revenue manager,manage budgets,optional
hospitality revenue manager,handle customer complaints,optional
hospitality revenue manager,quote prices,optional
hospitality revenue manager,manage yield,optional
hospitality revenue manager,maintain customer service,optional
hospitality revenue manager,conduct financial audits,optional
hospitality revenue manager,develop working procedures,optional
hospitality revenue manager,train employees,optional
medical laboratory assistant,techniques of blood-sampling,essential
medical laboratory assistant,microbiology-bacteriology,essential
medical laboratory assistant,laboratory techniques,essential
medical laboratory assistant,blood type classification,essential
medical laboratory assistant,perform laboratory tests,essential
medical laboratory assistant,conduct routine blood testing,essential
medical laboratory assistant,transport blood samples,essential
medical laboratory assistant,archive healthcare users' records,essential
medical laboratory assistant,mix chemicals,essential
medical laboratory assistant,record test data,essential
medical laboratory assistant,maintain laboratory equipment,essential
medical laboratory assistant,examine cell specimens microscopically,essential
medical laboratory assistant,wear appropriate protective gear,essential
medical laboratory assistant,label blood samples,essential
medical laboratory assistant,communicate in healthcare,essential
medical laboratory assistant,send samples to laboratory,essential
medical laboratory assistant,calibrate laboratory equipment,essential
medical laboratory assistant,maintain medical laboratory equipment,essential
medical laboratory assistant,work safely with chemicals,essential
medical laboratory assistant,identify patients' medical records,essential
medical laboratory assistant,test chemical samples,essential
medical laboratory assistant,perform sample testing,essential
medical laboratory assistant,perform cerebrospinal fluid analysis,essential
medical laboratory assistant,use chemical analysis equipment,essential
medical laboratory assistant,operate scientific measuring equipment,essential
medical laboratory assistant,prepare samples for testing,essential
medical laboratory assistant,blood donation,optional
medical laboratory assistant,biological chemistry,optional
medical laboratory assistant,electroencephalography,optional
medical laboratory assistant,clinical biochemistry,optional
medical laboratory assistant,blood transfusion,optional
medical laboratory assistant,blood collection on babies,optional
medical laboratory assistant,paediatric phlebotomy procedures,optional
medical laboratory assistant,dermapathology,optional
medical laboratory assistant,virology,optional
medical laboratory assistant,clinical cytology,optional
medical laboratory assistant,histopathology,optional
medical laboratory assistant,stem cells,optional
medical laboratory assistant,immunology,optional
medical laboratory assistant,fine-needle aspiration,optional
medical laboratory assistant,data protection,optional
medical laboratory assistant,cryopreservation,optional
medical laboratory assistant,densiometry,optional
medical laboratory assistant,microscopic techniques,optional
medical laboratory assistant,tissue cytogenetics,optional
medical laboratory assistant,examine samples in dermatology,optional
medical laboratory assistant,perform bone marrow transplant,optional
medical laboratory assistant,conduct cancer screening tests,optional
medical laboratory assistant,order supplies,optional
medical laboratory assistant,interpret hematological test results,optional
medical laboratory assistant,perform fertility laboratory procedures,optional
medical laboratory assistant,sterilise medical equipment,optional
medical laboratory assistant,analyse cell cultures,optional
medical laboratory assistant,perform pcr covid test,optional
medical laboratory assistant,monitor stock level,optional
medical laboratory assistant,perform reconstructive microsurgery,optional
medical laboratory assistant,analyse blood samples,optional
medical laboratory assistant,dispose medical waste,optional
medical laboratory assistant,perform stem cell transplantation,optional
medical laboratory assistant,work with chemicals,optional
medical laboratory assistant,interpret urology diagnostic tests,optional
medical laboratory assistant,interpret medical results,optional
medical laboratory assistant,carry out flow cytometry,optional
asphalt laboratory technician,asphalt mixes,essential
