occupation,occupation_aliases
technical director,director of technical arts|technical supervisor|head of technical|technical and operations director|technical manager|head of technical department
metal drawing machine operator,wire drawer|forming machine operative|draw machine operator|metal drawing machine technician|draw machine operative|metal drawing machine operative|wiredrawing setter|wiredrawing machine tender|draw machine technician|wirer drawer machine operator|forming machine technician
precision device inspector,precision device quality control supervisor|precision device quality assurance supervisor|precision instrument quality control inspector|precision instrument inspector|precision instrument supervisor|precision device qc inspector|inspector of precision devices|inspector of precision instruments|precision device quality control inspector|precision instrument qc inspector
air traffic safety technician,air traffic safety electronics hardware specialist|air traffic safety electronics technician|air traffic safety electronics engineer|air traffic safety electronics software specialist|air traffic safety hardware specialist|air traffic safety software specialist|air traffic safety engineer
hospitality revenue manager,yield manager|hospitality yields manager|hospitality revenues manager|revenue manager
medical laboratory assistant,biomedical laboratory research assistant|clinical research assistant|assistant clinical researcher|assistant in medical laboratory|medical lab assistant|medical laboratory research assistant|biomedical laboratory assistant|assistant in biomedical laboratory
asphalt laboratory technician,"bitumen technician|asphalt production technical supervisor|aggregates and bitumen laboratory technician|technical supervisor, asphalt production|road surface laboratory technician|road surface technician|aggregates and asphalt laboratory technician|site technician, asphalt|site technician|bitumen production technician|asphalt technician|asphalt production technician|materials technician"
primary school teaching assistant,primary school ta|primary school assistant|primary school paraprofessional|elementary school teaching assistant|primary school teaching aide|primary school instructional assistant|primary education teaching assistant|teaching assistant in primary schools
physiotherapist,respiratory therapist|masseuse|rehabilitation therapist|occupational therapist|osteopath|physiotherapist manager|neurological physiotherapist|respiratory physiotherapist|chiropractor|physical therapist|occupational physiotherapist|eurythmy therapist|neuromuscular physiotherapist|health and well-being therapist|chiropractic therapist|cardiovascular physiotherapist|neuromusculoskeletal physiotherapist|remedial physiotherapist|neurodevelopmental physiotherapist|health promotion worker|sports physiotherapist|manipulative physiotherapist|hydrotherapist|bobath physiotherapist|business physiotherapist
performing arts theatre instructor,professor of theatre|acting school teacher|theatre instructor in performing arts school|acting school instructor|instructor in performing arts|conservatory theatre instructor|performing arts theater instructor|theatre instructor|conservatory theatre lecturer
hydrogenation machine operator,hydrogenation process operator|hydrogenation machine operative|hydrogenation operator|hydrogenator
pasta operator,pasta manufacturer|dry pasta production operator|pasta maker|pasta production operator|pasta products operator
tobacco shop manager,tobacco store manager|cigar store manager|cigarette shop manager|cigar shop manager|tobacconists shop manager|purveyor of tobacco and tobacco products|tobacconist store manager|cigar and cigarette shop manager|cigarette store manager|smokers products shop manager|tobacconist shop manager|pipe smokers shop manager|tobacconists store manager|cigar and cigarette store manager
"rental service representative in other machinery, equipment and tangible goods","rental sales desk supervisor in other machinery, equipment and tangible goods|rental sales desk clerk in other machinery, equipment and tangible goods|rental specialist in other machinery, equipment and tangible goods|rental sales assistant in other machinery, equipment and tangible goods|rental service worker in other machinery, equipment and tangible goods|rental sales manager in other machinery, equipment and tangible goods|rental service desk clerk in other machinery, equipment and tangible goods|rental service assistant in other machinery, equipment and tangible goods|rental sales desk agent in other machinery, equipment and tangible goods|rental service desk supervisor in other machinery, equipment and tangible goods|rental sales supervisor in other machinery, equipment and tangible goods|rental sales worker in other machinery, equipment and tangible goods|rental service team leader in other machinery, equipment and tangible goods|rental service desk agent in other machinery, equipment and tangible goods|rental service supervisor in other machinery, equipment and tangible goods|rental service manager in other machinery, equipment and tangible goods|rental sales team leader in other machinery, equipment and tangible goods|rental advisor in other machinery, equipment and tangible goods"
mine surveyor,mine planning surveyor|mine plan maker|planner of mining operations|mining surveyor|mine surveyors|mine operations surveyor|mine records keeper
