skill,skill_aliases
manage musical staff,manage music staff|coordinate duties of musical staff|direct musical staff|manage staff of music
supervise correctional procedures,manage prison procedures|monitor correctional procedures|oversee prison procedures|oversee correctional procedures|manage correctional procedures|monitor prison procedures
apply anti-oppressive practices,make use of anti-oppressive practices|use anti-oppressive practices|apply non-oppressive practices|apply anti-oppresive practice|identify oppression in societies and groups|apply an anti-oppressive practice|act in a non-oppressive way
control compliance of railway vehicles regulations,checking compliance with rolling stock regulations|control compliance of regulations of rolling stock|conduct controls of compliance of railway vehicles regulations|compliance controls of railway vehicles regulations|ensuring compliance with railway vehicles regulations|inspection of compliance with rolling stock regulations|monitoring of compliance with rolling stock regulations|monitoring of compliance with railway vehicles regulations
identify available services,determine available services|classify available services|classify rehabilitation services|analyse rehabilitation services|establish rehabilitation services|establish available services|determine rehabilitation services|analyse available services
perform toxicological studies,carry out toxicological studies|apply toxicological testing methods|perform toxicological study|perform toxicological tests
ensure coquille uniformity,ensuring coquille is uniform|make sure coquille is uniform|check that coquille is uniform|ensuring of coquille uniformity|ensuring uniformity of coquille|ensure uniformity of coquille|ensure coquille is uniform|checking that coquille is uniform
haskell,haskell techniques
show initiative,initiate action|be a driving force|give impetus|take the initiative|show sense of initiative|show active initiative|demonstrate sense of initiative
train staff to reduce food waste,teach students food waste reduction practices|educate staff on food waste reduction|educate workers on food recycling methods|inform staff on food waste reduction practices
apply diplomatic principles,administer diplomatic principles|implement diplomatic principles|utilise diplomacy principles|administer diplomacy principles|use diplomatic principles|use diplomacy principles|utilise diplomatic principles|implement diplomacy principles
lead police investigations,manage police investigations|oversee police investigations|supervise police enquiries|oversee police enquiries|supervise police investigations|manage police enquiries
handle fish harvesting waste,dispose of waste from fish harvesting|fish harvesting waste handling|dispose of fish harvesting waste|fish harvesting waste disposing
develop energy saving concepts,develop concepts for energy saving|create energy saving concepts|energy saving concepts creating|creating energy saving concepts|creating concepts for energy saving|energy saving concepts developing|create concepts for energy saving
perform street interventions in social work,conduct outreach activites|carry out street interventions in social work|perform street-intervention in social-work|perform street intervention in social-work|perform street-intervention in social work|do street interventions in social work
work with soloists,collaborate with soloists|communicate with solo artists|work with a soloist
sport and exercise medicine,sports medicine|sports injury medicine|sports injury treatment|exercise and sports medicine
conduct research on flora,perform research on flora|run research on flora|flora research|research on flora|carry out research on flora
install heat pump,installation of heat pumps|commissioning heat pumps|heat pump installing|heat pump commissioning|installation of heat pump|commissioning heat pump|commissioning of heat pumps|heat pump installation|commissioning of heat pump|commission heat pumps|commission heat pump
design biomass installations,design biomass energy system|design biomass installation|determine construction boundaries for biomass energy systems|design biomass system|calculate capacity indicators for biomass installations
handle equipment while suspended,equipment handling while suspended|use climbing equipment|using climbing equipment while on a rope|using climbing equipment|use climbing equipment while on a rope
teach housekeeping skills,teach house keeping skills|teach skills for housekeeping|teach housekeeping skill|teach house-keeping skills|teach domestic science skills|instruct on housekeeping skills|train on housekeeping skills
check train engines,check locomotive engines|check engines on trains meet regulations|ensure compliance of train engines with regulations|check engines on locomotives|ensure train engines comply with regulations|perform train engine compliance activities|ensure train engines comply with applicable regulations|check train engines meet regulations|ensure train engines meet regulatory requirements|check engines of trains|check engines on trains
influence public policies,convince policymakers to change policies|communicate with policymakers for lobbying aims|communicate with policymakers to influence policies|lobbying for public policies|communicate with policymakers for lobbying purposes
enterprise risk management,erm|enterprise risk management process
manufacture ingredients,manufacture of ingredients|manufacture of an ingredient|fabricate ingredients|ingredients manufacture|construct ingredients|assemble ingredients|produce ingredients
maintain aquaculture ponds,aquaculture ponds cleaning|aquaculture ponds maintaining|cleaning aquaculture ponds|pond cleaning in aquaculture|clean aquaculture ponds|aquaculture pond cleaning|aquaculture pond maintaining|pond maintaining in aquaculture
apply credit risk policy,administer credit risk policy|apply a credit risk policy|credit risk policy application|implement credit risk policy|utilise credit risk policy|employ credit risk policy
handle customer requests related to cargo,address customer requests in relation to shipments|deal with customer requests related to cargo|handle customer requests related to freight|handle requests of customers related to freight|respond to customer requests in relation to cargo|deal with customer requests related to freight|handle requests of customers related to cargo|respond to customer freight requests|deal with requests of customers related to cargo|address requests made by customers in relation to cargo|respond to customer cargo requests
